,关键词,提及次数,颜色分类,唐代提及次数,宋代提及次数,颜色
0,青牛,156,绿,40,116,#66ff66
1,碧潭,178,绿,61,117,#66ff66
2,碧空,193,绿,65,128,#66ff66
3,青嶂,166,绿,37,129,#66ff66
4,翠色,173,绿,44,129,#66ff66
5,踏青,169,绿,35,134,#66ff66
6,暗中,182,黑,45,137,#66ff66
7,碧草,205,绿,65,140,#66ff66
8,碧海,240,绿,82,158,#66ff66
9,丹桂,228,红,67,161,#66ff66
10,白露,275,白,110,165,#66ff66
11,白骨,243,白,73,170,#66ff66
12,青史,242,绿,65,177,#66ff66
13,青苔,324,绿,145,179,#66ff66
14,丹霞,234,红,50,184,#66ff66
15,朱輪,233,红,45,188,#66ff66
16,白浪,250,白,61,189,#66ff66
17,青草,329,绿,128,201,#66ff66
18,赤城,333,红,94,239,#66ff66
19,白水,340,白,79,261,#66ff66
20,白鳥,328,白,61,267,#66ff66
21,金丹,326,红,57,269,#66ff66
22,丹心,314,红,44,270,#66ff66
23,李白,393,白,107,286,#66ff66
24,朱門,432,红,135,297,#66ff66
25,白衣,385,白,85,300,#66ff66
26,赤松,360,红,44,316,#66ff66
27,白鷗,358,白,36,322,#66ff66
28,金碧,381,绿,44,337,#66ff66
29,碧落,473,绿,130,343,#66ff66
30,青眼,394,绿,38,356,#66ff66
31,青冥,504,绿,118,386,#66ff66
32,丹砂,553,红,130,423,#66ff66
33,白石,580,白,145,435,#66ff66
34,青松,612,绿,157,455,#66ff66
35,牡丹,589,红,128,461,#66ff66
36,太白,589,白,117,472,#66ff66
37,翡翠,880,绿,394,486,#66ff66
38,碧玉,619,绿,103,516,#66ff66
39,白雪,848,白,212,636,#66ff66
40,翰墨,732,黑,50,682,#66ff66
41,翠微,953,绿,232,721,#66ff66
42,青春,977,绿,219,758,#66ff66
43,白玉,1053,白,194,859,#66ff66
44,青天,1084,绿,211,873,#66ff66
45,白首,1268,白,255,1013,#66ff66
46,白頭,1353,白,262,1091,#66ff66
47,白日,2034,白,694,1340,#66ff66
48,冥冥,1880,黑,318,1562,#66ff66
49,青青,2394,绿,528,1866,#66ff66
50,丹青,2404,绿,340,2064,#66ff66
51,青山,3576,绿,725,2851,#ff0000
